random-seed,100
6706,[176 126 288],288
2184,[26 276],276
9631,[92 93 282],282
5921,[177 176 126 288],288
9038,[49 15 45 279],279
4586,[106 284],284
2189,[],292
5238,[190 167 168 294],294
1157,[],285
12788,[54 55 56 279],279
8857,[206 88 32 207 278],278
10013,[1 51 52 67 280],280
11097,[81 82 281],281
5721,[33 207 278],278
2088,[],279
4028,[83 82 281],281
5886,[147 293],293
10855,[81 82 281],281
5498,[279],279
7430,[213 151 168 294],294
5428,[195 291],291
11354,[32 207 278],278
2389,[118 119 285],285
7308,[9 45 279],279
10258,[1 51 52 67 280],280
1291,[143 5 287],287
12127,[50 61 62 66 280],280
10159,[1 51 52 67 280],280
10419,[17 90 282],282
1119,[143 5 287],287
8141,[207 278],278
5029,[],280
9323,[48 49 15 45 279],279
11434,[51 52 67 280],280
7575,[62 66 280],280
11447,[51 52 67 280],280
8728,[206 88 32 207 278],278
8973,[49 15 45 279],279
3463,[139 126 288],288
10101,[1 51 52 67 280],280
8607,[280],280
10776,[81 82 281],281
11944,[50 61 62 66 280],280
9938,[1 51 52 67 280],280
10677,[17 90 282],282
421,[146 292],292
9716,[92 93 282],282
1607,[5 287],287
10008,[1 51 52 67 280],280
11513,[51 52 67 280],280
2084,[],279
12714,[54 55 56 279],279
8928,[49 15 45 279],279
6912,[280],280
10075,[1 51 52 67 280],280
6803,[50 61 62 66 280],280
4697,[278],278
1480,[292],292
5930,[177 176 126 288],288
3195,[175 141 287],287
8721,[206 88 32 207 278],278
7184,[222 221 220 219 26 276],276
12781,[54 55 56 279],279
4826,[31 276],276
11458,[51 52 67 280],280
11349,[32 207 278],278
7757,[140 141 287],287
2055,[],279
8840,[206 88 32 207 278],278
3861,[5 287],287
701,[],287
4909,[193 192 175 141 287],287
7414,[94 92 93 282],282
8963,[49 15 45 279],279
379,[164 293],293
7391,[9 45 279],279
12192,[50 61 62 66 280],280
10219,[1 51 52 67 280],280
6902,[280],280
6784,[101 283],283
463,[146 292],292
10302,[17 90 282],282
6697,[176 126 288],288
11160,[32 207 278],278
9478,[88 32 207 278],278
3881,[67 280],280
10623,[17 90 282],282
4856,[106 284],284
9894,[1 51 52 67 280],280
1027,[221 220 219 26 276],276
10622,[17 90 282],282
2201,[],292
6442,[11 211 19 285],285
8744,[206 88 32 207 278],278
8650,[19 285],285
10063,[1 51 52 67 280],280
8765,[206 88 32 207 278],278
7269,[9 45 279],279
9690,[92 93 282],282
10708,[81 82 281],281
10825,[81 82 281],281
6707,[176 126 288],288
8952,[49 15 45 279],279
3776,[],283
12919,[54 55 56 279],279
6962,[86 85 281],281
8876,[206 88 32 207 278],278
11550,[51 52 67 280],280
431,[146 292],292
2213,[],292
8804,[206 88 32 207 278],278
10287,[17 90 282],282
3753,[204 136 152 290],290
606,[56 279],279
10703,[17 90 282],282
11484,[51 52 67 280],280
3794,[],283
3596,[66 280],280
9061,[49 15 45 279],279
365,[191 175 141 287],287
2926,[101 283],283
802,[139 126 288],288
10958,[81 82 281],281
5863,[57 56 279],279
7039,[285],285
1715,[34 33 207 278],278
13066,[54 55 56 279],279
2208,[],292
11202,[32 207 278],278
2809,[279],279
10522,[17 90 282],282
4945,[177 176 126 288],288
6083,[66 280],280
1706,[198 4 286],286
8666,[99 94 92 93 282],282
2716,[25 26 276],276
11392,[51 52 67 280],280
9612,[92 93 282],282
3771,[],283
12499,[65 16 66 280],280
1083,[160 292],292
6059,[66 280],280
6112,[66 280],280
2496,[9 45 279],279
7524,[101 283],283
12284,[65 16 66 280],280
7340,[9 45 279],279
5822,[57 56 279],279
6590,[37 34 33 207 278],278
9315,[48 49 15 45 279],279
3201,[175 141 287],287
3989,[155 290],290
6506,[119 285],285
941,[10 67 280],280
1523,[],281
5420,[195 291],291
10861,[81 82 281],281
11865,[50 61 62 66 280],280
12369,[65 16 66 280],280
5329,[45 279],279
11361,[32 207 278],278
12377,[65 16 66 280],280
3316,[45 279],279
5894,[195 291],291
3161,[],278
8258,[185 294],294
9677,[92 93 282],282
12596,[65 16 66 280],280
10793,[81 82 281],281
533,[282],282
12541,[65 16 66 280],280
2507,[9 45 279],279
11909,[50 61 62 66 280],280
6338,[],282
12563,[65 16 66 280],280
9132,[49 15 45 279],279
7977,[8 9 45 279],279
2887,[15 45 279],279
1881,[9 45 279],279
6938,[280],280
11057,[81 82 281],281
8462,[],277
5173,[40 9 45 279],279
7247,[176 126 288],288
8214,[285],285
6286,[144 203 204 136 152 290 155 291],291
8991,[49 15 45 279],279
6324,[],282
7439,[213 151 168 294],294
8342,[93 282],282
7526,[101 283],283
5696,[33 207 278],278
5754,[121 19 285],285
13086,[54 55 56 279],279
7443,[211 19 285],285
10464,[17 90 282],282
6357,[160 292],292
1719,[34 33 207 278],278
10962,[81 82 281],281
5441,[279],279
7258,[9 45 279],279
3465,[139 126 288],288
1677,[82 281],281
3303,[45 279],279
12982,[54 55 56 279],279
7082,[100 101 283],283
9509,[88 32 207 278],278
5682,[33 207 278],278
6115,[66 280],280
12213,[50 61 62 66 280],280
5684,[33 207 278],278
562,[56 279],279
8155,[207 278],278
6649,[37 34 33 207 278],278
10928,[81 82 281],281
1844,[9 45 279],279
4515,[211 19 285],285
12038,[50 61 62 66 280],280
2764,[279],279
1960,[206 88 32 207 278],278
10760,[81 82 281],281
8229,[285],285
5255,[287],287
4314,[207 278],278
3835,[276],276
5512,[279],279
4426,[16 66 280],280
3917,[202 133 131 129 288],288
12074,[50 61 62 66 280],280
7002,[285],285
7279,[9 45 279],279
2068,[],279
2726,[279],279
3786,[],283
1365,[67 280],280
2409,[85 281],281
427,[146 292],292
6780,[101 283],283
3444,[212 23 11 211 19 285],285
2739,[279],279
6882,[19 285],285
9437,[88 32 207 278],278
497,[102 101 283],283
10710,[81 82 281],281
10761,[81 82 281],281
5426,[195 291],291
4164,[205 162 164 293],293
5762,[121 19 285],285
6947,[280],280
361,[191 175 141 287],287
2967,[21 90 282],282
9408,[88 32 207 278],278
1850,[9 45 279],279
10476,[17 90 282],282
11022,[81 82 281],281
1985,[282],282
7094,[100 101 283],283
9052,[49 15 45 279],279
12281,[65 16 66 280],280
2317,[62 66 280],280
3288,[45 279],279
2001,[282],282
7667,[56 279],279
9776,[92 93 282],282
8143,[207 278],278
6730,[176 126 288],288
1853,[9 45 279],279
2826,[283],283
12070,[50 61 62 66 280],280
10664,[17 90 282],282
12021,[50 61 62 66 280],280
2514,[9 45 279],279
6107,[66 280],280
4870,[81 82 281],281
6913,[280],280
7930,[29 278],278
9325,[48 49 15 45 279],279
2106,[90 282],282
5702,[33 207 278],278
