random-seed,100
2586,[55 56 279],279
12777,[54 55 56 279],279
5508,[279],279
3270,[61 62 66 280],280
1669,[82 281],281
3726,[90 282],282
5122,[40 9 45 279],279
6007,[104 105 106 284],284
505,[134 133 289],289
10586,[17 90 282],282
1703,[198 4 286],286
8088,[293],293
9902,[1 51 52 67 280],280
6139,[289],289
13157,[47 39 40 9 45 279],279
6109,[66 280],280
13361,[47 39 40 9 45 279],279
2624,[128 134 133 289],289
6973,[86 85 281],281
3809,[276],276
10318,[17 90 282],282
11028,[81 82 281],281
7507,[101 283],283
10189,[1 51 52 67 280],280
11676,[51 52 67 280],280
5695,[33 207 278],278
1937,[206 88 32 207 278],278
10510,[17 90 282],282
8188,[187 188 189 144 203 204 136 152 290 155 291],291
4786,[183 45 279],279
3962,[277],277
1390,[24 29 277],277
1759,[34 33 207 278],278
475,[167 168 294],294
1817,[9 45 279],279
12098,[50 61 62 66 280],280
945,[10 67 280],280
446,[146 292],292
1228,[52 67 280],280
7509,[101 283],283
8520,[141 287],287
3826,[276],276
5945,[281],281
6633,[37 34 33 207 278],278
7566,[62 66 280],280
7237,[176 126 288],288
11819,[50 61 62 66 280],280
3727,[90 282],282
2871,[15 45 279],279
12333,[65 16 66 280],280
7213,[176 126 288],288
1833,[9 45 279],279
8038,[8 9 45 279],279
1461,[162 164 293],293
8295,[105 106 284],284
6824,[50 61 62 66 280],280
5086,[52 67 280],280
3258,[61 62 66 280],280
5554,[199 139 126 288],288
5406,[96 101 283],283
4086,[159 160 292],292
2021,[],279
10362,[17 90 282],282
9237,[48 49 15 45 279],279
9189,[48 49 15 45 279],279
5184,[40 9 45 279],279
8092,[207 278],278
13264,[47 39 40 9 45 279],279
6370,[160 292],292
2910,[120 113 112 105 106 284],284
11782,[51 52 67 280],280
1449,[162 164 293],293
5351,[45 279],279
1682,[82 281],281
9178,[48 49 15 45 279],279
6583,[37 34 33 207 278],278
9042,[49 15 45 279],279
8391,[93 282],282
11888,[50 61 62 66 280],280
4044,[83 82 281],281
1065,[4 286],286
4273,[207 278],278
11507,[51 52 67 280],280
6490,[119 285],285
2127,[90 282],282
539,[282],282
4003,[170 198 4 286],286
6700,[176 126 288],288
3417,[218 159 158 208 194 195 291],291
12660,[65 16 66 280],280
10873,[81 82 281],281
12376,[65 16 66 280],280
8063,[8 9 45 279],279
6422,[45 279],279
11529,[51 52 67 280],280
12397,[65 16 66 280],280
1532,[],281
7426,[213 151 168 294],294
3334,[45 279],279
6210,[105 106 284],284
742,[65 16 66 280],280
5551,[199 139 126 288],288
5248,[287],287
12014,[50 61 62 66 280],280
4737,[278],278
6485,[119 285],285
9424,[88 32 207 278],278
7798,[93 282],282
11543,[51 52 67 280],280
4154,[205 162 164 293],293
10307,[17 90 282],282
12483,[65 16 66 280],280
5364,[45 279],279
2896,[288],288
6387,[45 279],279
8407,[202 133 289],289
634,[56 279],279
5422,[195 291],291
850,[32 207 278],278
5537,[199 139 126 288],288
9639,[92 93 282],282
3177,[175 141 287],287
9508,[88 32 207 278],278
12890,[54 55 56 279],279
5298,[69 68 67 280],280
7085,[100 101 283],283
12040,[50 61 62 66 280],280
7407,[94 92 93 282],282
9985,[1 51 52 67 280],280
4253,[207 278],278
5142,[40 9 45 279],279
3541,[85 281],281
8809,[206 88 32 207 278],278
2999,[126 288],288
2731,[279],279
12543,[65 16 66 280],280
3662,[67 280],280
5965,[281],281
12288,[65 16 66 280],280
2071,[],279
11308,[32 207 278],278
2058,[],279
3352,[45 279],279
499,[102 101 283],283
10521,[17 90 282],282
7600,[62 66 280],280
12844,[54 55 56 279],279
6927,[280],280
7214,[176 126 288],288
9925,[1 51 52 67 280],280
11070,[81 82 281],281
10832,[81 82 281],281
4179,[168 294],294
10526,[17 90 282],282
1330,[67 280],280
11634,[51 52 67 280],280
9598,[92 93 282],282
11043,[81 82 281],281
6836,[50 61 62 66 280],280
12374,[65 16 66 280],280
331,[188 189 144 203 204 136 152 290 155 291],291
2231,[276],276
8599,[280],280
5152,[40 9 45 279],279
11623,[51 52 67 280],280
982,[112 105 106 284],284
7770,[172 138 143 5 287],287
12534,[65 16 66 280],280
10020,[1 51 52 67 280],280
5022,[],280
7597,[62 66 280],280
12629,[65 16 66 280],280
10034,[1 51 52 67 280],280
8410,[138 143 5 287],287
2622,[128 134 133 289],289
2036,[],279
12831,[54 55 56 279],279
6054,[66 280],280
5059,[52 67 280],280
10941,[81 82 281],281
11226,[32 207 278],278
5592,[141 287],287
8622,[19 285],285
8070,[8 9 45 279],279
11719,[51 52 67 280],280
10147,[1 51 52 67 280],280
4089,[159 160 292],292
6032,[66 280],280
11084,[81 82 281],281
10206,[1 51 52 67 280],280
13179,[47 39 40 9 45 279],279
2325,[133 289],289
7525,[101 283],283
8758,[206 88 32 207 278],278
13197,[47 39 40 9 45 279],279
10059,[1 51 52 67 280],280
9704,[92 93 282],282
7848,[277],277
1629,[152 290],290
9741,[92 93 282],282
4411,[16 66 280],280
4247,[207 278],278
12823,[54 55 56 279],279
1713,[34 33 207 278],278
10261,[17 90 282],282
8041,[8 9 45 279],279
3933,[277],277
9687,[92 93 282],282
12207,[50 61 62 66 280],280
318,[165 147 293],293
4465,[211 19 285],285
12737,[54 55 56 279],279
7349,[9 45 279],279
4494,[211 19 285],285
1515,[],294
8493,[115 197 113 112 105 106 284],284
3658,[67 280],280
9071,[49 15 45 279],279
5350,[45 279],279
8681,[200 199 139 126 288],288
11463,[51 52 67 280],280
6608,[37 34 33 207 278],278
9375,[88 32 207 278],278
1660,[284],284
950,[10 67 280],280
9160,[48 49 15 45 279],279
5602,[141 287],287
9032,[49 15 45 279],279
9549,[88 32 207 278],278
3157,[],278
10775,[81 82 281],281
10658,[17 90 282],282
417,[164 293],293
12286,[65 16 66 280],280
1779,[34 33 207 278],278
4994,[116 74 197 113 112 105 106 284],284
9710,[92 93 282],282
5971,[281],281
3961,[277],277
8001,[8 9 45 279],279
4000,[170 198 4 286],286
5455,[279],279
10722,[81 82 281],281
4451,[185 294],294
2046,[],279
8370,[93 282],282
4345,[63 62 66 280],280
9982,[1 51 52 67 280],280
12719,[54 55 56 279],279
5131,[40 9 45 279],279
494,[133 289],289
11359,[32 207 278],278
1436,[162 164 293],293
6330,[],282
12791,[54 55 56 279],279
11705,[51 52 67 280],280
1589,[5 287],287
1114,[143 5 287],287
13260,[47 39 40 9 45 279],279
7368,[9 45 279],279
3408,[45 279],279
8405,[202 133 289],289
1940,[206 88 32 207 278],278
11765,[51 52 67 280],280
1861,[9 45 279],279
5083,[52 67 280],280
2141,[90 282],282
7377,[9 45 279],279
5939,[177 176 126 288],288
1877,[9 45 279],279
2428,[85 281],281
7769,[172 138 143 5 287],287
11443,[51 52 67 280],280
4608,[106 284],284
9281,[48 49 15 45 279],279
3336,[45 279],279
3824,[276],276
4794,[31 276],276
8977,[49 15 45 279],279
6285,[144 203 204 136 152 290 155 291],291
13142,[54 55 56 279],279
6560,[151 168 294],294
9360,[48 49 15 45 279],279
12503,[65 16 66 280],280
4848,[192 175 141 287],287
4181,[168 294],294
1969,[206 88 32 207 278],278
10765,[81 82 281],281
7739,[56 279],279
2462,[],284
8831,[206 88 32 207 278],278
3641,[66 280],280
11519,[51 52 67 280],280
7259,[9 45 279],279
2643,[128 134 133 289],289
1979,[282],282
12898,[54 55 56 279],279
9410,[88 32 207 278],278
5555,[199 139 126 288],288
1497,[292],292
2369,[118 119 285],285
6715,[176 126 288],288
5649,[33 207 278],278
11675,[51 52 67 280],280
623,[56 279],279
10648,[17 90 282],282
8456,[],277
1452,[162 164 293],293
8502,[141 287],287
10632,[17 90 282],282
10319,[17 90 282],282
6227,[157 145 160 292],292
10460,[17 90 282],282
13182,[47 39 40 9 45 279],279
8483,[59 63 62 66 280],280
11006,[81 82 281],281
5539,[199 139 126 288],288
9048,[49 15 45 279],279
5043,[],280
3631,[66 280],280
1987,[282],282
2830,[283],283
8413,[138 143 5 287],287
6136,[289],289
307,[165 147 293],293
9730,[92 93 282],282
5606,[141 287],287
3518,[85 281],281
8417,[138 143 5 287],287
10167,[1 51 52 67 280],280
2944,[101 283],283
5373,[45 279],279
440,[146 292],292
9324,[48 49 15 45 279],279
1071,[160 292],292
5213,[217 137 135 136 289],289
1821,[9 45 279],279
4241,[207 278],278
12394,[65 16 66 280],280
11466,[51 52 67 280],280
6018,[220 219 26 276],276
13325,[47 39 40 9 45 279],279
9536,[88 32 207 278],278
5120,[40 9 45 279],279
2442,[85 281],281
11326,[32 207 278],278
4246,[207 278],278
9311,[48 49 15 45 279],279
1169,[],285
3590,[66 280],280
9933,[1 51 52 67 280],280
8874,[206 88 32 207 278],278
2153,[294],294
430,[146 292],292
1854,[9 45 279],279
4317,[207 278],278
5927,[177 176 126 288],288
8660,[19 285],285
7684,[56 279],279
5377,[45 279],279
5284,[69 68 67 280],280
11988,[50 61 62 66 280],280
12765,[54 55 56 279],279
4281,[207 278],278
5644,[33 207 278],278
12707,[54 55 56 279],279
11406,[51 52 67 280],280
10344,[17 90 282],282
5378,[45 279],279
5704,[33 207 278],278
995,[112 105 106 284],284
2494,[9 45 279],279
4638,[156 155 290],290
4472,[211 19 285],285
3797,[168 294],294
11220,[32 207 278],278
13171,[47 39 40 9 45 279],279
8404,[202 133 289],289
9511,[88 32 207 278],278
3648,[66 280],280
3439,[88 32 207 278],278
5045,[],280
2326,[133 289],289
2094,[],279
8631,[19 285],285
6647,[37 34 33 207 278],278
3277,[61 62 66 280],280
11587,[51 52 67 280],280
9565,[88 32 207 278],278
12299,[65 16 66 280],280
619,[56 279],279
12215,[50 61 62 66 280],280
11351,[32 207 278],278
10368,[17 90 282],282
12257,[50 61 62 66 280],280
9944,[1 51 52 67 280],280
1312,[67 280],280
610,[56 279],279
7010,[285],285
12876,[54 55 56 279],279
2654,[124 177 176 126 288],288
5951,[281],281
13113,[54 55 56 279],279
3353,[45 279],279
4641,[156 155 290],290
12733,[54 55 56 279],279
12799,[54 55 56 279],279
6074,[66 280],280
8838,[206 88 32 207 278],278
10610,[17 90 282],282
4935,[177 176 126 288],288
4330,[63 62 66 280],280
4152,[205 162 164 293],293
3056,[66 280],280
12689,[65 16 66 280],280
4524,[199 139 126 288],288
11671,[51 52 67 280],280
11993,[50 61 62 66 280],280
9918,[1 51 52 67 280],280
5470,[279],279
2888,[15 45 279],279
4798,[31 276],276
8541,[286],286
5369,[45 279],279
4521,[199 139 126 288],288
9614,[92 93 282],282
11051,[81 82 281],281
5360,[45 279],279
5629,[33 207 278],278
7852,[277],277
11305,[32 207 278],278
4250,[207 278],278
7314,[9 45 279],279
8854,[206 88 32 207 278],278
962,[10 67 280],280
6646,[37 34 33 207 278],278
12142,[50 61 62 66 280],280
655,[292],292
2840,[283],283
10537,[17 90 282],282
7696,[56 279],279
7783,[172 138 143 5 287],287
10069,[1 51 52 67 280],280
7178,[222 221 220 219 26 276],276
1900,[9 45 279],279
3591,[66 280],280
9576,[88 32 207 278],278
6509,[119 285],285
10358,[17 90 282],282
12026,[50 61 62 66 280],280
9603,[92 93 282],282
3639,[66 280],280
11546,[51 52 67 280],280
1271,[82 281],281
2435,[85 281],281
8080,[8 9 45 279],279
9133,[49 15 45 279],279
7662,[56 279],279
9113,[49 15 45 279],279
10785,[81 82 281],281
1772,[34 33 207 278],278
10583,[17 90 282],282
13240,[47 39 40 9 45 279],279
11087,[81 82 281],281
10251,[1 51 52 67 280],280
822,[139 126 288],288
10944,[81 82 281],281
8423,[138 143 5 287],287
721,[65 16 66 280],280
12245,[50 61 62 66 280],280
1464,[292],292
10405,[17 90 282],282
5405,[96 101 283],283
1212,[52 67 280],280
6424,[45 279],279
1251,[82 281],281
11902,[50 61 62 66 280],280
10496,[17 90 282],282
10502,[17 90 282],282
1613,[136 289],289
9924,[1 51 52 67 280],280
7664,[56 279],279
8078,[8 9 45 279],279
7369,[9 45 279],279
4233,[207 278],278
2780,[279],279
3039,[126 288],288
6026,[66 280],280
6829,[50 61 62 66 280],280
2745,[279],279
689,[292],292
12330,[65 16 66 280],280
9122,[49 15 45 279],279
11026,[81 82 281],281
4018,[],276
1665,[284],284
3621,[66 280],280
9567,[88 32 207 278],278
9665,[92 93 282],282
1840,[9 45 279],279
11946,[50 61 62 66 280],280
8943,[49 15 45 279],279
3787,[],283
2331,[133 289],289
3030,[126 288],288
9064,[49 15 45 279],279
3275,[61 62 66 280],280
10662,[17 90 282],282
2485,[9 45 279],279
4763,[278],278
3825,[276],276
10797,[81 82 281],281
13329,[47 39 40 9 45 279],279
1914,[19 285],285
3579,[66 280],280
8902,[206 88 32 207 278],278
6670,[37 34 33 207 278],278
7867,[205 162 164 293],293
5017,[],280
10709,[81 82 281],281
6179,[105 106 284],284
8392,[93 282],282
3485,[216 128 134 133 289],289
12491,[65 16 66 280],280
7299,[9 45 279],279
7280,[9 45 279],279
2562,[126 288],288
11661,[51 52 67 280],280
13238,[47 39 40 9 45 279],279
4133,[223 222 221 220 219 26 276],276
11374,[51 52 67 280],280
1371,[67 280],280
2724,[279],279
11862,[50 61 62 66 280],280
8313,[105 106 284],284
12805,[54 55 56 279],279
4407,[16 66 280],280
937,[10 67 280],280
9661,[92 93 282],282
3992,[170 198 4 286],286
11086,[81 82 281],281
5446,[279],279
7212,[176 126 288],288
2861,[15 45 279],279
2985,[21 90 282],282
11132,[81 82 281],281
2781,[279],279
4534,[],290
8543,[286],286
6478,[119 285],285
1035,[221 220 219 26 276],276
13116,[54 55 56 279],279
3312,[45 279],279
8972,[49 15 45 279],279
5893,[195 291],291
3924,[202 133 131 129 288],288
8719,[206 88 32 207 278],278
5797,[192 175 141 287],287
1614,[136 289],289
2202,[],292
12174,[50 61 62 66 280],280
5949,[281],281
11415,[51 52 67 280],280
7189,[107 106 284],284
2789,[279],279
1178,[],285
7395,[9 45 279],279
3837,[276],276
11187,[32 207 278],278
5913,[177 176 126 288],288
12463,[65 16 66 280],280
10711,[81 82 281],281
9769,[92 93 282],282
7087,[100 101 283],283
4681,[175 141 287],287
6444,[11 211 19 285],285
1075,[160 292],292
5666,[33 207 278],278
3844,[5 287],287
3472,[139 126 288],288
6498,[119 285],285
10667,[17 90 282],282
6328,[],282
2224,[276],276
7219,[176 126 288],288
9949,[1 51 52 67 280],280
13211,[47 39 40 9 45 279],279
3972,[277],277
2441,[85 281],281
9040,[49 15 45 279],279
2427,[85 281],281
9765,[92 93 282],282
8414,[138 143 5 287],287
9003,[49 15 45 279],279
12889,[54 55 56 279],279
8021,[8 9 45 279],279
12779,[54 55 56 279],279
3390,[45 279],279
10800,[81 82 281],281
10301,[17 90 282],282
5860,[57 56 279],279
10562,[17 90 282],282
13283,[47 39 40 9 45 279],279
8609,[280],280
10328,[17 90 282],282
4880,[81 82 281],281
3877,[67 280],280
8270,[281],281
5833,[57 56 279],279
12699,[65 16 66 280],280
2364,[118 119 285],285
9575,[88 32 207 278],278
12807,[54 55 56 279],279
4102,[54 55 56 279],279
8012,[8 9 45 279],279
6726,[176 126 288],288
13189,[47 39 40 9 45 279],279
2929,[101 283],283
5143,[40 9 45 279],279
323,[165 147 293],293
901,[22 121 19 285],285
11398,[51 52 67 280],280
4065,[159 160 292],292
5749,[121 19 285],285
694,[],287
10322,[17 90 282],282
5209,[1 51 52 67 280],280
6966,[86 85 281],281
7763,[140 141 287],287
7045,[285],285
2785,[279],279
2743,[279],279
528,[282],282
5474,[279],279
7830,[277],277
4688,[254 156 155 290],290
6135,[294],294
7791,[93 282],282
12417,[65 16 66 280],280
11370,[51 52 67 280],280
4048,[83 82 281],281
3523,[85 281],281
4072,[159 160 292],292
4784,[183 45 279],279
3848,[5 287],287
12673,[65 16 66 280],280
7772,[172 138 143 5 287],287
7289,[9 45 279],279
1597,[5 287],287
2878,[15 45 279],279
8651,[19 285],285
11015,[81 82 281],281
12058,[50 61 62 66 280],280
12950,[54 55 56 279],279
4571,[51 52 67 280],280
12545,[65 16 66 280],280
6815,[50 61 62 66 280],280
3113,[66 280],280
12221,[50 61 62 66 280],280
12416,[65 16 66 280],280
1563,[],281
2527,[9 45 279],279
697,[],287
1566,[],281
12484,[65 16 66 280],280
4788,[183 45 279],279
6177,[105 106 284],284
856,[32 207 278],278
3902,[67 280],280
1514,[],294
11289,[32 207 278],278
10911,[81 82 281],281
3137,[],278
1695,[198 4 286],286
4403,[16 66 280],280
9606,[92 93 282],282
8575,[280],280
6678,[37 34 33 207 278],278
9448,[88 32 207 278],278
10255,[1 51 52 67 280],280
13315,[47 39 40 9 45 279],279
2458,[85 281],281
4323,[207 278],278
7624,[62 66 280],280
9779,[92 93 282],282
9775,[92 93 282],282
1962,[206 88 32 207 278],278
12031,[50 61 62 66 280],280
12384,[65 16 66 280],280
8271,[281],281
5802,[192 175 141 287],287
690,[292],292
6181,[105 106 284],284
12841,[54 55 56 279],279
6743,[101 283],283
7447,[211 19 285],285
10894,[81 82 281],281
7894,[205 162 164 293],293
1037,[221 220 219 26 276],276
8936,[49 15 45 279],279
11142,[81 82 281],281
9159,[48 49 15 45 279],279
4409,[16 66 280],280
5307,[45 279],279
11841,[50 61 62 66 280],280
4468,[211 19 285],285
11033,[81 82 281],281
12293,[65 16 66 280],280
5917,[177 176 126 288],288
1788,[34 33 207 278],278
6433,[45 279],279
3004,[126 288],288
13201,[47 39 40 9 45 279],279
8399,[93 282],282
10719,[81 82 281],281
12782,[54 55 56 279],279
11358,[32 207 278],278
4842,[31 276],276
8291,[105 106 284],284
4015,[],276
5952,[281],281
6447,[11 211 19 285],285
5739,[121 19 285],285
725,[65 16 66 280],280
5711,[33 207 278],278
6448,[11 211 19 285],285
10195,[1 51 52 67 280],280
1133,[143 5 287],287
7017,[285],285
12066,[50 61 62 66 280],280
10022,[1 51 52 67 280],280
332,[49 15 45 279],279
5937,[177 176 126 288],288
11749,[51 52 67 280],280
9859,[1 51 52 67 280],280
9076,[49 15 45 279],279
2163,[294],294
3615,[66 280],280
7363,[9 45 279],279
10669,[17 90 282],282
6180,[105 106 284],284
12167,[50 61 62 66 280],280
2396,[118 119 285],285
3241,[61 62 66 280],280
11221,[32 207 278],278
3592,[66 280],280
1781,[34 33 207 278],278
1518,[],294
5009,[],280
13223,[47 39 40 9 45 279],279
1331,[67 280],280
8547,[286],286
1538,[],281
3343,[45 279],279
12072,[50 61 62 66 280],280
6206,[105 106 284],284
8995,[49 15 45 279],279
13166,[47 39 40 9 45 279],279
12089,[50 61 62 66 280],280
2377,[118 119 285],285
3630,[66 280],280
7374,[9 45 279],279
5182,[40 9 45 279],279
1474,[292],292
8779,[206 88 32 207 278],278
2515,[9 45 279],279
13276,[47 39 40 9 45 279],279
11309,[32 207 278],278
4373,[63 62 66 280],280
5738,[121 19 285],285
6675,[37 34 33 207 278],278
5700,[33 207 278],278
6375,[160 292],292
1993,[282],282
442,[146 292],292
397,[164 293],293
11135,[81 82 281],281
6213,[105 106 284],284
1472,[292],292
1438,[162 164 293],293
444,[146 292],292
4951,[177 176 126 288],288
7929,[29 278],278
1524,[],281
12607,[65 16 66 280],280
9977,[1 51 52 67 280],280
3271,[61 62 66 280],280
2191,[],292
6037,[66 280],280
5605,[141 287],287
9115,[49 15 45 279],279
12812,[54 55 56 279],279
12636,[65 16 66 280],280
6908,[280],280
920,[10 67 280],280
4852,[192 175 141 287],287
9721,[92 93 282],282
8008,[8 9 45 279],279
9579,[88 32 207 278],278
4075,[159 160 292],292
10559,[17 90 282],282
4070,[159 160 292],292
8247,[185 294],294
5331,[45 279],279
3035,[126 288],288
7282,[9 45 279],279
10111,[1 51 52 67 280],280
3673,[67 280],280
2856,[15 45 279],279
4609,[106 284],284
11298,[32 207 278],278
12152,[50 61 62 66 280],280
2311,[62 66 280],280
969,[10 67 280],280
4114,[54 55 56 279],279
10947,[81 82 281],281
9847,[1 51 52 67 280],280
10414,[17 90 282],282
12793,[54 55 56 279],279
316,[165 147 293],293
1701,[198 4 286],286
448,[146 292],292
4446,[185 294],294
3005,[126 288],288
1745,[34 33 207 278],278
6850,[19 285],285
12664,[65 16 66 280],280
6554,[123 286],286
9123,[49 15 45 279],279
2176,[26 276],276
12999,[54 55 56 279],279
9805,[92 93 282],282
8810,[206 88 32 207 278],278
2004,[282],282
8888,[206 88 32 207 278],278
11489,[51 52 67 280],280
9335,[48 49 15 45 279],279
2794,[279],279
2746,[279],279
3125,[],278
4573,[51 52 67 280],280
11684,[51 52 67 280],280
12413,[65 16 66 280],280
4046,[83 82 281],281
5240,[287],287
8637,[19 285],285
3375,[45 279],279
2642,[128 134 133 289],289
1866,[9 45 279],279
11538,[51 52 67 280],280
8179,[189 144 203 204 136 152 290 155 291],291
7110,[100 101 283],283
8047,[8 9 45 279],279
8717,[206 88 32 207 278],278
8377,[93 282],282
10434,[17 90 282],282
1078,[160 292],292
12729,[54 55 56 279],279
2433,[85 281],281
1151,[],285
10673,[17 90 282],282
10602,[17 90 282],282
11317,[32 207 278],278
10250,[1 51 52 67 280],280
7580,[62 66 280],280
4234,[207 278],278
5972,[281],281
6241,[157 145 160 292],292
7355,[9 45 279],279
8801,[206 88 32 207 278],278
5760,[121 19 285],285
5397,[96 101 283],283
5101,[52 67 280],280
9397,[88 32 207 278],278
5276,[69 68 67 280],280
6437,[11 211 19 285],285
8044,[8 9 45 279],279
4464,[211 19 285],285
1250,[82 281],281
3778,[],283
10275,[17 90 282],282
5545,[199 139 126 288],288
8159,[207 278],278
8833,[206 88 32 207 278],278
4282,[207 278],278
11868,[50 61 62 66 280],280
3966,[277],277
10771,[81 82 281],281
2452,[85 281],281
1958,[206 88 32 207 278],278
2899,[288],288
13074,[54 55 56 279],279
10064,[1 51 52 67 280],280
10461,[17 90 282],282
10993,[81 82 281],281
2481,[9 45 279],279
1845,[9 45 279],279
8110,[207 278],278
12107,[50 61 62 66 280],280
3274,[61 62 66 280],280
13336,[47 39 40 9 45 279],279
2645,[124 177 176 126 288],288
11516,[51 52 67 280],280
7200,[],293
826,[139 126 288],288
10266,[17 90 282],282
821,[139 126 288],288
10965,[81 82 281],281
10269,[17 90 282],282
3038,[126 288],288
8894,[206 88 32 207 278],278
6801,[50 61 62 66 280],280
2773,[279],279
5494,[279],279
7689,[56 279],279
4653,[118 119 285],285
13095,[54 55 56 279],279
8537,[286],286
5243,[287],287
8361,[93 282],282
10324,[17 90 282],282
9021,[49 15 45 279],279
2650,[124 177 176 126 288],288
8245,[185 294],294
11729,[51 52 67 280],280
10053,[1 51 52 67 280],280
12360,[65 16 66 280],280
1591,[5 287],287
4351,[63 62 66 280],280
11265,[32 207 278],278
2221,[276],276
8301,[105 106 284],284
9958,[1 51 52 67 280],280
4121,[54 55 56 279],279
12478,[65 16 66 280],280
4700,[278],278
10238,[1 51 52 67 280],280
4580,[106 284],284
366,[191 175 141 287],287
13337,[47 39 40 9 45 279],279
3697,[90 282],282
5439,[279],279
5547,[199 139 126 288],288
10393,[17 90 282],282
7304,[9 45 279],279
2024,[],279
13000,[54 55 56 279],279
13184,[47 39 40 9 45 279],279
4150,[205 162 164 293],293
8365,[93 282],282
4252,[207 278],278
1650,[284],284
7857,[277],277
9014,[49 15 45 279],279
2839,[283],283
3890,[67 280],280
7201,[],293
3649,[66 280],280
4295,[207 278],278
7881,[205 162 164 293],293
3257,[61 62 66 280],280
2641,[128 134 133 289],289
10268,[17 90 282],282
7360,[9 45 279],279
10371,[17 90 282],282
5002,[],280
11252,[32 207 278],278
3545,[85 281],281
1404,[129 288],288
6621,[37 34 33 207 278],278
1468,[292],292
825,[139 126 288],288
3928,[202 133 131 129 288],288
7973,[8 9 45 279],279
1717,[34 33 207 278],278
9067,[49 15 45 279],279
12261,[65 16 66 280],280
7128,[20 66 280],280
11316,[32 207 278],278
4615,[106 284],284
5874,[147 293],293
12148,[50 61 62 66 280],280
545,[282],282
7795,[93 282],282
7766,[172 138 143 5 287],287
9059,[49 15 45 279],279
5435,[279],279
4675,[175 141 287],287
4516,[211 19 285],285
12759,[54 55 56 279],279
10997,[81 82 281],281
6843,[19 285],285
1849,[9 45 279],279
2542,[126 288],288
6140,[289],289
10294,[17 90 282],282
6205,[105 106 284],284
7060,[111 118 119 285],285
10207,[1 51 52 67 280],280
7053,[111 118 119 285],285
4037,[83 82 281],281
6413,[45 279],279
5358,[45 279],279
8624,[19 285],285
718,[65 16 66 280],280
1749,[34 33 207 278],278
5092,[52 67 280],280
6364,[160 292],292
1323,[67 280],280
10394,[17 90 282],282
12708,[54 55 56 279],279
11662,[51 52 67 280],280
4595,[106 284],284
9891,[1 51 52 67 280],280
2578,[55 56 279],279
9789,[92 93 282],282
5046,[],280
10123,[1 51 52 67 280],280
4097,[54 55 56 279],279
7404,[94 92 93 282],282
11746,[51 52 67 280],280
9830,[1 51 52 67 280],280
12567,[65 16 66 280],280
13335,[47 39 40 9 45 279],279
7127,[20 66 280],280
6650,[37 34 33 207 278],278
12134,[50 61 62 66 280],280
587,[56 279],279
12923,[54 55 56 279],279
10489,[17 90 282],282
4808,[31 276],276
11085,[81 82 281],281
12189,[50 61 62 66 280],280
5321,[45 279],279
2749,[279],279
4847,[192 175 141 287],287
12173,[50 61 62 66 280],280
12475,[65 16 66 280],280
11182,[32 207 278],278
651,[292],292
4054,[83 82 281],281
2535,[9 45 279],279
10483,[17 90 282],282
10891,[81 82 281],281
8517,[141 287],287
8942,[49 15 45 279],279
1415,[129 288],288
4410,[16 66 280],280
10214,[1 51 52 67 280],280
4292,[207 278],278
5491,[279],279
5671,[33 207 278],278
6884,[19 285],285
948,[10 67 280],280
6820,[50 61 62 66 280],280
4598,[106 284],284
5768,[192 175 141 287],287
13137,[54 55 56 279],279
4091,[159 160 292],292
9796,[92 93 282],282
8082,[293],293
1418,[129 288],288
1040,[221 220 219 26 276],276
7052,[111 118 119 285],285
627,[56 279],279
1708,[198 4 286],286
11911,[50 61 62 66 280],280
5461,[279],279
8918,[206 88 32 207 278],278
4131,[223 222 221 220 219 26 276],276
2384,[118 119 285],285
10067,[1 51 52 67 280],280
9521,[88 32 207 278],278
11668,[51 52 67 280],280
550,[282],282
4742,[278],278
6844,[19 285],285
10541,[17 90 282],282
7243,[176 126 288],288
12998,[54 55 56 279],279
10212,[1 51 52 67 280],280
11455,[51 52 67 280],280
9916,[1 51 52 67 280],280
8783,[206 88 32 207 278],278
9037,[49 15 45 279],279
5007,[],280
9407,[88 32 207 278],278
12032,[50 61 62 66 280],280
6058,[66 280],280
3244,[61 62 66 280],280
7618,[62 66 280],280
9590,[88 32 207 278],278
9642,[92 93 282],282
11167,[32 207 278],278
934,[10 67 280],280
11655,[51 52 67 280],280
6795,[147 293],293
3026,[126 288],288
7344,[9 45 279],279
11100,[81 82 281],281
12313,[65 16 66 280],280
1218,[52 67 280],280
10557,[17 90 282],282
3211,[175 141 287],287
2467,[],284
4591,[106 284],284
10495,[17 90 282],282
7495,[101 283],283
8730,[206 88 32 207 278],278
880,[32 207 278],278
7387,[9 45 279],279
5611,[141 287],287
5478,[279],279
8289,[105 106 284],284
10864,[81 82 281],281
11849,[50 61 62 66 280],280
8588,[280],280
12165,[50 61 62 66 280],280
1748,[34 33 207 278],278
13334,[47 39 40 9 45 279],279
1997,[282],282
5116,[40 9 45 279],279
13058,[54 55 56 279],279
11067,[81 82 281],281
5139,[40 9 45 279],279
8513,[141 287],287
6002,[281],281
7690,[56 279],279
5137,[40 9 45 279],279
13026,[54 55 56 279],279
3930,[202 133 131 129 288],288
9863,[1 51 52 67 280],280
13061,[54 55 56 279],279
4642,[156 155 290],290
13282,[47 39 40 9 45 279],279
1074,[160 292],292
13194,[47 39 40 9 45 279],279
12869,[54 55 56 279],279
6451,[11 211 19 285],285
5636,[33 207 278],278
1341,[67 280],280
6207,[105 106 284],284
1652,[284],284
12097,[50 61 62 66 280],280
11206,[32 207 278],278
